"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47801-5202","P","Justin","Justin Verlander","Verlander","43","1","11200","HOU@ARI","HOU","ARI","IL","Forearm","","","0"
"47801-12934","P","Tyler","Tyler Chatwood","Chatwood","56","2","9600","CHC@KAN","CHC","KAN","","","","Yes",""
"47801-16931","P","Yu","Yu Darvish","Darvish","35.666666666666664","3","9500","CHC@KAN","CHC","KAN","","","","","0"
"47801-52198","P","Lucas","Lucas Giolito","Giolito","29.333333333333332","3","9400","MIL@CWS","CWS","MIL","","","","","0"
"47801-80582","P","Brandon","Brandon Woodruff","Woodruff","39","3","9200","MIL@CWS","MIL","CWS","","","","","0"
"47801-5522","P","Zack","Zack Greinke","Greinke","15","2","9100","HOU@ARI","HOU","ARI","","","","","0"
"47801-5369","P","Jon","Jon Lester","Lester","27.5","2","8900","CHC@KAN","CHC","KAN","","","","","0"
"47801-79073","P","Mike","Mike Soroka","Soroka","17","3","8500","TOR@ATL","ATL","TOR","IL","Achilles","","","0"
"47801-52185","P","Max","Max Fried","Fried","35.333333333333336","3","8500","TOR@ATL","ATL","TOR","","","","","0"
"47801-37014","P","Hyun Jin","Hyun Jin Ryu","Ryu","25","3","8400","TOR@ATL","TOR","ATL","","","","","0"
"47801-53398","P","Kyle","Kyle Hendricks","Hendricks","34","3","8300","CHC@KAN","CHC","KAN","","","","","0"
"47801-85251","P","Zac","Zac Gallen","Gallen","35","2","8200","HOU@ARI","ARI","HOU","","","","Yes",""
"47801-52159","P","Lance","Lance McCullers Jr.","McCullers Jr.","14","3","8100","HOU@ARI","HOU","ARI","","","","","0"
"47801-38272","P","Mike","Mike Foltynewicz","Foltynewicz","1","1","8000","TOR@ATL","ATL","TOR","","","","","0"
"47801-101881","P","Merrill","Merrill Kelly","Kelly","38","2","8000","HOU@ARI","ARI","HOU","","","","","0"
"47801-38101","P","Tanner","Tanner Roark","Roark","33","1","7900","TOR@ATL","TOR","ATL","","","","","0"
"47801-79245","P","Sandy","Sandy Alcantara","Alcantara","48","1","7800","BAL@MIA","MIA","BAL","IL","Illness","","","0"
"47801-6311","P","Madison","Madison Bumgarner","Bumgarner","14.333333333333334","3","7700","HOU@ARI","ARI","HOU","","","","","0"
"47801-5525","P","Cole","Cole Hamels","Hamels","28.296296296296298","27","7700","TOR@ATL","ATL","TOR","IL","Triceps","","","0"
"47801-82535","P","Kyle","Kyle Wright","Wright","13.5","2","7500","TOR@ATL","ATL","TOR","","","","","0"
"47801-21099","P","Jose","Jose Quintana","Quintana","26.125","32","7500","CHC@KAN","CHC","KAN","IL","Thumb","","","0"
"47801-82656","P","Nate","Nate Pearson","Pearson","30","1","7500","TOR@ATL","TOR","ATL","","","","Yes",""
"47801-17164","P","Matt","Matt Shoemaker","Shoemaker","16.5","2","7500","TOR@ATL","TOR","ATL","","","","","0"
"47801-68561","P","Luke","Luke Weaver","Weaver","9.5","2","7500","HOU@ARI","ARI","HOU","","","","","0"
"47801-52169","P","Kohl","Kohl Stewart","Stewart","7.555555555555555","9","7300","BAL@MIA","BAL","MIA","IL","Opt out","","","0"
"47801-53029","P","Robbie","Robbie Ray","Ray","18.333333333333332","3","7200","HOU@ARI","ARI","HOU","","","","","0"
"47801-102335","P","Cristian","Cristian Javier","Javier","25","3","7200","HOU@ARI","HOU","ARI","","","","","0"
"47801-81051","P","Caleb","Caleb Smith","Smith","15","1","7100","BAL@MIA","MIA","BAL","IL","Undisclosed","","","0"
"47801-68491","P","Reynaldo","Reynaldo Lopez","Lopez","-10","1","7100","MIL@CWS","CWS","MIL","IL","Shoulder","","","0"
"47801-83152","P","Pablo","Pablo Lopez","Lopez","42","1","7000","BAL@MIA","MIA","BAL","","","","","0"
"47801-85599","P","Framber","Framber Valdez","Valdez","26.5","2","7000","HOU@ARI","HOU","ARI","","","","","0"
"47801-70561","P","Alec","Alec Mills","Mills","37","2","7000","CHC@KAN","CHC","KAN","","","","","0"
"47801-5416","P","Brett","Brett Anderson","Anderson","9","1","6900","MIL@CWS","MIL","CWS","","","","","0"
"47801-85531","P","Josh","Josh James","James","12","2","6900","HOU@ARI","HOU","ARI","","","","","0"
"47801-23089","P","Dallas","Dallas Keuchel","Keuchel","29","3","6900","MIL@CWS","CWS","MIL","","","","","0"
"47801-54445","P","Asher","Asher Wojciechowski","Wojciechowski","22.5","2","6800","BAL@MIA","BAL","MIA","","","","","0"
"47801-79226","P","Eric","Eric Lauer","Lauer","26","1","6800","MIL@CWS","MIL","CWS","","","","","0"
"47801-82810","P","Elieser","Elieser Hernandez","Hernandez","28","1","6700","BAL@MIA","MIA","BAL","","","","","0"
"47801-60633","P","Carlos","Carlos Rodon","Rodon","7","2","6600","MIL@CWS","CWS","MIL","IL","Shoulder","","","0"
"47801-79147","P","Jakob","Jakob Junis","Junis","13","1","6600","CHC@KAN","KAN","CHC","","","","","0"
"47801-6018","P","Wade","Wade LeBlanc","LeBlanc","22.5","2","6600","BAL@MIA","BAL","MIA","","","","Yes",""
"47801-13727","P","Josh","Josh Lindblom","Lindblom","20","1","6500","MIL@CWS","MIL","CWS","","","","Yes",""
"47801-101855","P","Trent","Trent Thornton","Thornton","18","1","6500","TOR@ATL","TOR","ATL","IL","Elbow","","","0"
"47801-82604","P","Corbin","Corbin Burnes","Burnes","22.5","2","6500","MIL@CWS","MIL","CWS","","","","","0"
"47801-79072","P","Brad","Brad Keller","Keller","26.035714285714285","28","6400","CHC@KAN","KAN","CHC","","","","Yes",""
"47801-110822","P","Jose","Jose Urquidy","Urquidy","23.666666666666668","9","6400","HOU@ARI","HOU","ARI","IL","Undisclosed","","","0"
"47801-102344","P","Brady","Brady Singer","Singer","25","3","6400","CHC@KAN","KAN","CHC","","","","","0"
"47801-13268","P","Danny","Danny Duffy","Duffy","25.666666666666668","3","6400","CHC@KAN","KAN","CHC","","","","","0"
"47801-60627","P","Touki","Touki Toussaint","Toussaint","17.5","2","6300","TOR@ATL","ATL","TOR","","","","Yes",""
"47801-11321","P","Mike","Mike Montgomery","Montgomery","0","1","6200","CHC@KAN","KAN","CHC","IL","Lat","","","0"
"47801-5661","P","Felix","Felix Hernandez","Hernandez","16.733333333333334","15","6200","TOR@ATL","ATL","TOR","DTD","Opt out","","","0"
"47801-5320","P","Gio","Gio Gonzalez","Gonzalez","15.5","2","6100","MIL@CWS","CWS","MIL","","","","Yes",""
"47801-66766","P","Adrian","Adrian Houser","Houser","35","2","6100","MIL@CWS","MIL","CWS","","","","","0"
"47801-101854","P","Jacob","Jacob Waguespack","Waguespack","8","3","6100","TOR@ATL","TOR","ATL","","","","","0"
"47801-79882","P","Austin","Austin Pruitt","Pruitt","14.785714285714286","14","6000","HOU@ARI","HOU","ARI","IL","Elbow","","","0"
"47801-66765","P","Jorge","Jorge Lopez","Lopez","-4","1","6000","CHC@KAN","KAN","CHC","NA","Personal","","","0"
