"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Robinson Cano","Mets","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","3269"
"Eric Thames","Nationals","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","3711"
"Ji-Man Choi","Rays","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","5452"
"Wilmer Flores","Giants","1","1","2","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1.000","5827"
"Marcell Ozuna","Braves","1","1","4","1","1","0","0","0","1","0","3","1","0","0","0","0","0","0","0","1.000","10324"
"Greg Garcia","Padres","1","1","1","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","1.000","10951"
"Bubba Starling","Royals","1","1","1","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1.000","13356"
"Austin Slater","Giants","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","16153"
"Carter Kieboom","Nationals","1","2","4","2","2","0","0","0","2","0","2","0","0","0","0","0","0","0","0","1.000","19958"
"Starlin Castro","Nationals","1","5","5","4","3","1","0","0","2","0","0","0","1","0","0","0","0","0","0",".800","4579"
"Donovan Solano","Giants","1","5","6","4","1","3","0","0","1","2","0","0","1","0","1","0","0","0","0",".800","8623"
"Giancarlo Stanton","Yankees","1","4","5","3","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0",".750","4949"
"Alex Gordon","Royals","1","4","4","3","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0",".750","5209"
"Teoscar Hernandez","Blue Jays","1","4","4","3","1","0","0","2","2","2","0","0","0","0","0","0","0","0","1",".750","13066"
"Adalberto Mondesi","Royals","1","4","4","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".750","13769"
"Lourdes Gurriel Jr.","Blue Jays","1","4","4","3","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".750","19238"
"Alex Verdugo","Red Sox","1","3","4","2","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".667","17027"
"Tommy Pham","Padres","1","5","5","3","2","1","0","0","2","2","0","0","1","0","0","0","0","0","0",".600","2967"
"Jorge Soler","Royals","1","5","5","3","1","2","0","0","1","0","0","0","1","0","0","0","0","0","0",".600","14221"
"Miguel Cabrera","Tigers","1","4","4","2","0","0","0","2","2","2","0","0","1","0","0","0","0","0","0",".500","1744"
"Cameron Maybin","Tigers","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","5223"
"Christian Vazquez","Red Sox","1","4","4","2","0","0","0","2","2","3","0","0","2","0","0","0","0","0","0",".500","9774"
"Jurickson Profar","Padres","1","4","5","2","1","0","0","1","2","3","0","0","0","1","0","0","0","1","0",".500","10815"
"Hanser Alberto","Orioles","1","4","4","2","1","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".500","11902"
"Brian Goodwin","Angels","1","4","4","2","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","12858"
"Max Muncy","Dodgers","1","4","5","2","1","0","0","1","2","1","1","0","0","0","0","0","0","0","0",".500","13301"
"Jose Ramirez","Indians","1","2","4","1","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0",".500","13510"
"Ketel Marte","Diamondbacks","1","4","4","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".500","13613"
"Carson Kelly","Diamondbacks","1","4","4","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","13620"
"Rio Ruiz","Orioles","1","4","4","2","1","0","0","1","1","2","0","0","1","0","0","0","1","0","0",".500","14103"
