"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Adam Ottavino","Yankees","0","0","0.00","1","0","0","0","0","1","0","0.1","1","0","0","0","0","0","0","0","0","0","0","1247"
"Oliver Perez","Indians","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","0","0","1","0","0","0","1514"
"Hector Rondon","Diamondbacks","1","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","2391"
"Tony Watson","Giants","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","0","0","0","0","0","2","3132"
"Nate Jones","Reds","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","1","0","2","4696"
"Alex Colome","White Sox","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","6661"
"Greg Holland","Royals","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","7196"
"Craig Stammen","Padres","1","0","0.00","1","0","0","0","0","0","0","1.1","5","1","0","0","0","0","0","0","0","0","1","7274"
"Ryan Buchter","Angels","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","0","9456"
"Joe Kelly","Dodgers","0","0","0.00","1","0","0","0","0","0","0","0.1","4","2","0","0","0","1","0","0","1","0","0","9761"
"Sergio Romo","Twins","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","2","9817"
"Tyler Matzek","Braves","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","2","10058"
"Aaron Loup","Rays","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","0","0","0","10343"
"Mychal Givens","Orioles","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","1","0","0","0","0","1","10430"
"Trevor Rosenthal","Royals","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","10745"
"Grant Dayton","Braves","1","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","11203"
"Drew Pomeranz","Padres","0","0","0.00","1","0","0","0","1","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","11426"
"Dovydas Neverauskas","Pirates","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","1","0","0","0","0","0","11604"
"Taijuan Walker","Mariners","1","0","0.00","1","1","0","0","0","0","0","7.0","24","1","0","0","0","2","0","0","0","0","8","11836"
"Chris Martin","Braves","0","0","0.00","1","0","0","0","1","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","11847"
"Evan Marshall","White Sox","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","12297"
"Jacob Barnes","Angels","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","0","12323"
"Blake Treinen","Dodgers","0","1","0.00","1","0","0","0","0","0","1","0.2","6","1","4","0","0","2","1","0","0","0","1","12572"
"Jairo Diaz","Rockies","0","0","0.00","1","0","0","0","0","1","0","1.0","5","2","0","0","0","0","0","0","0","0","3","12774"
"Burch Smith","Athletics","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","12784"
"Noe Ramirez","Angels","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","1","0","0","1","12800"
"Andrew Kittredge","Rays","0","0","0.00","1","0","0","0","0","0","0","0.2","2","1","0","0","0","0","0","0","0","0","0","12828"
"Shawn Armstrong","Orioles","0","0","0.00","1","0","0","0","0","1","0","0.2","3","1","0","0","0","0","0","0","0","0","2","12857"
"Archie Bradley","Diamondbacks","0","0","0.00","1","0","0","0","1","0","0","1.0","5","1","0","0","0","1","0","0","0","0","2","12918"
"Yu Darvish","Cubs","1","0","0.00","1","1","0","0","0","0","0","6.0","20","2","0","0","0","1","0","0","0","0","7","13074"
"Jordan Weems","Athletics","0","0","0.00","1","0","0","0","0","0","0","2.0","7","1","0","0","0","1","0","0","1","0","2","13190"
"Hoby Milner","Angels","0","0","0.00","1","0","0","0","0","0","0","0.1","3","1","0","0","0","1","0","0","0","0","1","13346"
"Dylan Floro","Dodgers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","1","0","0","0","0","0","13394"
"Sam Selman","Giants","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","2","13397"
"Taylor Rogers","Twins","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","13449"
"Tyler Duffey","Twins","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","13758"
"Dominic Leone","Indians","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","0","13763"
"Wandy Peralta","Giants","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14295"
"J.B. Wendelken","Athletics","0","0","0.00","1","0","0","0","0","0","0","0.2","5","1","0","0","0","1","0","0","0","0","1","14506"
"Rowan Wick","Cubs","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","1","14646"
"Buck Farmer","Tigers","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","14814"
"Taylor Williams","Mariners","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","14899"
"Scott Barlow","Royals","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","14993"
"Cole Sulser","Orioles","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","15256"
"Mike Mayers","Angels","0","0","0.00","1","0","0","0","0","0","0","0.1","4","1","2","0","0","1","0","0","0","0","1","15451"
"Chad Green","Yankees","0","0","0.00","1","0","0","0","0","1","0","2.0","6","0","0","0","0","0","0","0","0","0","4","15552"
"Phillips Valdez","Red Sox","0","0","0.00","1","0","0","0","0","0","0","2.2","11","3","0","0","0","0","0","0","0","0","3","15605"
"Jimmy Cordero","White Sox","0","0","0.00","1","0","0","0","0","1","0","1.2","7","1","0","0","0","0","0","1","0","0","3","15690"
"Jonathan Holder","Yankees","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","16588"
"Bryan Abreu","Astros","0","0","0.00","1","0","0","0","0","0","0","0.1","3","0","1","0","0","2","0","0","0","0","1","16609"
"Cameron Hill","Indians","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","16840"
